,model,p,algo,time,epc
82,BA,0.4,GNN (1 shot) + Local Search,1.471619568001188,52.4817
83,BA,0.4,Greedy GNN,0.120495019997179,52.72245
84,BA,0.4,Greedy GNN + Local Search,0.9582280510003328,52.12215
85,BA,0.5,Degree-based,0.0020899049995932,96.92685
86,BA,0.5,Betweenness,0.01381563799805,99.8856
87,BA,0.5,PageRank,0.0031448579975403,81.81945
88,BA,0.5,Greedy,0.4341373639981611,80.85285
89,BA,0.5,Greedy + Local Search,1.6803876780031717,80.30745
90,BA,0.5,Greedy with MIS,0.941580097998667,87.8571
91,BA,0.5,Greedy with MIS + Local Search,1.7189615690003848,80.93295
92,BA,0.5,REGA,0.45093959299993,82.04265
93,BA,0.5,REGA + Local Search,1.71564548999595,81.3078
94,BA,0.5,GRASP,3.573372371996811,81.1197
95,BA,0.5,GRASP + Local Search,6.430906797002535,82.5966
96,BA,0.5,GRASP + Path Relinking,7.04182129399851,81.9099
97,BA,0.5,GRASP + Path Relinking + Local Search,7.607018401999085,80.7615
98,BA,0.5,GNN (1 shot),0.0416812589974142,136.2447
99,BA,0.5,GNN (1 shot) + Local Search,7.117724970004929,80.40735
100,BA,0.5,Greedy GNN,0.1136049330016248,82.0701
101,BA,0.5,Greedy GNN + Local Search,2.1043331939945347,80.442
102,BA,0.6,Degree-based,0.0028812129967263,157.20165
103,BA,0.6,Betweenness,0.0175170160000561,157.38975
104,BA,0.6,PageRank,0.0036346400011098,127.24155
105,BA,0.6,Greedy,0.7624036010020063,123.37515
106,BA,0.6,Greedy + Local Search,4.368579822999891,122.94405
107,BA,0.6,Greedy with MIS,0.2334753639952396,124.461
108,BA,0.6,Greedy with MIS + Local Search,3.4576386919943616,120.4236
109,BA,0.6,REGA,0.4492472060010186,135.50085
110,BA,0.6,REGA + Local Search,4.72736706899741,120.59955
111,BA,0.6,GRASP,7.957443491999584,123.83955
112,BA,0.6,GRASP + Local Search,8.346615453003324,120.64725
113,BA,0.6,GRASP + Path Relinking,17.887825693993364,121.2462
114,BA,0.6,GRASP + Path Relinking + Local Search,13.461090409997269,123.75315
115,BA,0.6,GNN (1 shot),0.0429311330008204,247.3722
116,BA,0.6,GNN (1 shot) + Local Search,9.31519730999571,121.18545
117,BA,0.6,Greedy GNN,0.1075002700017648,127.1241
118,BA,0.6,Greedy GNN + Local Search,2.494814569996379,119.79405
119,BA,0.7,Degree-based,0.0030907140026101,266.81175
120,BA,0.7,Betweenness,0.0148771330059389,254.44935
121,BA,0.7,PageRank,0.0037570900021819,198.81855
122,BA,0.7,Greedy,0.5056941739967442,189.84195
123,BA,0.7,Greedy + Local Search,2.421213658002671,191.18025
124,BA,0.7,Greedy with MIS,0.5451168950021383,409.9761
125,BA,0.7,Greedy with MIS + Local Search,1.9909866000016336,191.3886
126,BA,0.7,REGA,0.4529064300004393,248.7807
127,BA,0.7,REGA + Local Search,3.3245238800009247,190.4994
128,BA,0.7,GRASP,13.640214862993162,191.45565
129,BA,0.7,GRASP + Local Search,19.366411641000013,189.36585
130,BA,0.7,GRASP + Path Relinking,11.20102770000085,191.421
131,BA,0.7,GRASP + Path Relinking + Local Search,17.39199558299879,182.54295
132,BA,0.7,GNN (1 shot),0.0350326909974683,454.53735
133,BA,0.7,GNN (1 shot) + Local Search,3.361759562998486,182.4084
134,BA,0.7,Greedy GNN,0.1118768169981194,198.6111
135,BA,0.7,Greedy GNN + Local Search,1.5929575599948294,190.87155
136,BA,0.8,Degree-based,0.0042296829997212,476.4429
137,BA,0.8,Betweenness,0.0155512749988702,422.43795
138,BA,0.8,PageRank,0.0044575329957297,317.86425
139,BA,0.8,Greedy,1.1482216239965055,473.9805
140,BA,0.8,Greedy + Local Search,3.453559565001342,290.13525
141,BA,0.8,Greedy with MIS,0.2636521509994054,298.1214
142,BA,0.8,Greedy with MIS + Local Search,10.039094932006265,283.70655
143,BA,0.8,REGA,0.4809132619993761,409.31775
144,BA,0.8,REGA + Local Search,3.2076006990027963,282.93525
145,BA,0.8,GRASP,9.193558023995138,282.1725
146,BA,0.8,GRASP + Local Search,14.756824659998529,284.9922
147,BA,0.8,GRASP + Path Relinking,13.130623611999908,283.36545
148,BA,0.8,GRASP + Path Relinking + Local Search,18.064690958999563,283.67955
149,BA,0.8,GNN (1 shot),0.0375809709948953,858.29265
150,BA,0.8,GNN (1 shot) + Local Search,5.248217738997482,283.70295
151,BA,0.8,Greedy GNN,0.1165775839981506,316.29915
152,BA,0.8,Greedy GNN + Local Search,4.81898089999595,285.0003
153,BA,0.9,Degree-based,0.0055600289997528,885.37905
154,BA,0.9,Betweenness,0.0282628189961542,701.5761
155,BA,0.9,PageRank,0.0193374369991943,506.01825
156,BA,0.9,Greedy,1.9223830880000603,1077.0192
157,BA,0.9,Greedy + Local Search,7.296801066004264,421.3503
158,BA,0.9,Greedy with MIS,0.8897178129991516,474.1533
159,BA,0.9,Greedy with MIS + Local Search,2.4392337669996778,418.48515
160,BA,0.9,REGA,0.4873907940054778,829.791
161,BA,0.9,REGA + Local Search,12.676391130000413,418.69575
162,BA,0.9,GRASP,13.636449776000518,420.95925
163,BA,0.9,GRASP + Local Search,17.148046237001836,421.28865
164,BA,0.9,GRASP + Path Relinking,26.01813651699922,509.2371
165,BA,0.9,GRASP + Path Relinking + Local Search,34.89029960899643,420.0372
166,BA,0.9,GNN (1 shot),0.038189102000615,1525.79925
167,BA,0.9,GNN (1 shot) + Local Search,6.205986458997359,421.07175
168,BA,0.9,Greedy GNN,0.1086775160001707,505.6281
169,BA,0.9,Greedy GNN + Local Search,8.132213819000754,419.35725
170,BA,1.0,Degree-based,0.0083217720020911,1496.11545
171,BA,1.0,Betweenness,0.017951460002223,1075.34565
172,BA,1.0,PageRank,0.0049723679985618,746.3889
173,BA,1.0,Greedy,0.9163027789982152,2110.3155
174,BA,1.0,Greedy + Local Search,7.702536167998915,571.9896
175,BA,1.0,Greedy with MIS,0.9638986220015796,2152.2159
176,BA,1.0,Greedy with MIS + Local Search,7.108184500000789,818.13285
177,BA,1.0,REGA,0.4928788830002304,1079.52255
178,BA,1.0,REGA + Local Search,6.547732790997543,570.58245
179,BA,1.0,GRASP,13.821332742998491,984.66795
180,BA,1.0,GRASP + Local Search,23.35270293999929,573.80445
181,BA,1.0,GRASP + Path Relinking,20.35326695699769,2709.56565
182,BA,1.0,GRASP + Path Relinking + Local Search,30.4583415369998,572.2119
183,BA,1.0,GNN (1 shot),0.0351709220049087,2288.14425
184,BA,1.0,GNN (1 shot) + Local Search,11.549276784004178,572.27895
185,BA,1.0,Greedy GNN,0.1142485870004748,748.6578
186,BA,1.0,Greedy GNN + Local Search,7.013769529003184,569.8269
0,SW,0.0,Degree-based,0.0014490320027107,0.0
1,SW,0.0,Betweenness,0.0231642660000943,0.0
2,SW,0.0,PageRank,0.0150213099987013,0.0
3,SW,0.0,Greedy,0.0484040719966287,0.0
4,SW,0.0,Greedy + Local Search,1.128511173003062,0.0
5,SW,0.0,Greedy with MIS,0.5399655880028149,0.0
6,SW,0.0,Greedy with MIS + Local Search,3.513423772994429,0.0
7,SW,0.0,REGA,0.4606770969985518,0.0
8,SW,0.0,REGA + Local Search,0.7325353839987656,0.0
9,SW,0.0,GRASP,0.7253558420052286,0.0
10,SW,0.0,GRASP + Local Search,1.1266193769988604,0.0
11,SW,0.0,GRASP + Path Relinking,2.483235818996036,0.0
12,SW,0.0,GRASP + Path Relinking + Local Search,2.5450706470001023,0.0
13,SW,0.0,GNN (1 shot),0.0352351010005804,0.0
14,SW,0.0,GNN (1 shot) + Local Search,0.2121804609996616,0.0
15,SW,0.0,Greedy GNN,0.1260691839997889,0.0
16,SW,0.0,Greedy GNN + Local Search,0.3333540770036052,0.0
17,SW,0.1,Degree-based,0.0018484980028006,19.07685
18,SW,0.1,Betweenness,0.0133156049996614,20.3562
19,SW,0.1,PageRank,0.0038737619979656,19.06965
20,SW,0.1,Greedy,0.0610788859994499,22.0473
21,SW,0.1,Greedy + Local Search,2.63205609099532,20.74275
22,SW,0.1,Greedy with MIS,2.972018918000685,19.4238
23,SW,0.1,Greedy with MIS + Local Search,2.701120804005768,19.5264
24,SW,0.1,REGA,0.6298065640003188,23.28255
25,SW,0.1,REGA + Local Search,4.644443292003416,19.81665
26,SW,0.1,GRASP,1.548609752993798,19.9755
27,SW,0.1,GRASP + Local Search,7.984445446003519,19.1862
28,SW,0.1,GRASP + Path Relinking,2.0957714749965817,20.5371
29,SW,0.1,GRASP + Path Relinking + Local Search,5.31017605800298,19.9674
30,SW,0.1,GNN (1 shot),0.0341288970012101,19.3455
31,SW,0.1,GNN (1 shot) + Local Search,0.9900102960018556,19.3338
32,SW,0.1,Greedy GNN,0.1287197040001046,19.23525
33,SW,0.1,Greedy GNN + Local Search,0.5805378619988915,19.1862
34,SW,0.2,Degree-based,0.002209252998,54.62325
35,SW,0.2,Betweenness,0.0140294850061764,59.2155
36,SW,0.2,PageRank,0.0034531909986981,54.4878
37,SW,0.2,Greedy,0.0468078600024455,55.9782
38,SW,0.2,Greedy + Local Search,1.4670856339944294,53.70075
39,SW,0.2,Greedy with MIS,0.6899871739951777,56.5254
40,SW,0.2,Greedy with MIS + Local Search,1.374361113004852,53.5878
41,SW,0.2,REGA,0.6722476599970832,62.0361
42,SW,0.2,REGA + Local Search,3.8550313910018303,55.2123
43,SW,0.2,GRASP,1.4671718959943971,56.0403
44,SW,0.2,GRASP + Local Search,3.312053732995992,54.6777
45,SW,0.2,GRASP + Path Relinking,2.1315426169967395,55.8936
46,SW,0.2,GRASP + Path Relinking + Local Search,4.7652696619989,54.07785
47,SW,0.2,GNN (1 shot),0.031140236002102,56.6217
48,SW,0.2,GNN (1 shot) + Local Search,0.7779320389963686,56.15775
49,SW,0.2,Greedy GNN,0.1379760529962368,55.323
50,SW,0.2,Greedy GNN + Local Search,0.639340212001116,53.95635
51,SW,0.3,Degree-based,0.0029337919986573,131.72715
52,SW,0.3,Betweenness,0.015024109998194,145.09395
53,SW,0.3,PageRank,0.0039281470017158,132.5052
54,SW,0.3,Greedy,0.1562841030026902,129.7089
55,SW,0.3,Greedy + Local Search,0.999664267998014,129.51405
56,SW,0.3,Greedy with MIS,0.5554627029996482,133.182
57,SW,0.3,Greedy with MIS + Local Search,2.0645479390004766,129.05505
58,SW,0.3,REGA,0.6796506969985785,171.2241
59,SW,0.3,REGA + Local Search,2.666213401003916,131.71545
60,SW,0.3,GRASP,2.167371732997708,122.6916
61,SW,0.3,GRASP + Local Search,2.638025561995164,127.73295
62,SW,0.3,GRASP + Path Relinking,3.379444196994882,122.15295
